timestamp,dataset,algorithm,varied_param,param_variant,run,parameters,score,runtime_s
2026-04-12 02:41:06,d_tough_choices,stochastic_hill_climbing,candidates,2,1,it=100; candidates=7,4347265,28.92157
2026-04-12 02:41:06,d_tough_choices,stochastic_hill_climbing,candidates,3,1,it=100; candidates=15,4351165,62.223569
2026-04-12 02:41:06,d_tough_choices,stochastic_hill_climbing,candidates,4,1,it=100; candidates=25,4348305,103.663973
2026-04-12 02:41:33,d_tough_choices,first_choice_hill_climbing,max_no_improvement,1,1,max_no_improvement=30,4341090,1.327456
2026-04-12 02:41:33,d_tough_choices,first_choice_hill_climbing,max_no_improvement,2,1,max_no_improvement=100,4355715,4.225481
2026-04-12 02:41:33,d_tough_choices,first_choice_hill_climbing,max_no_improvement,3,1,max_no_improvement=200,4344535,8.43843
2026-04-12 02:41:33,d_tough_choices,first_choice_hill_climbing,max_no_improvement,4,1,max_no_improvement=300,4347070,12.473806
2026-04-12 02:47:58,d_tough_choices,random_restart_hill_climbing,restarts,1,1,restarts=3; max_iter=200,4354285,26.292937
2026-04-12 02:47:58,d_tough_choices,random_restart_hill_climbing,restarts,2,1,restarts=8; max_iter=200,4356105,66.585707
2026-04-12 02:47:58,d_tough_choices,random_restart_hill_climbing,restarts,3,1,restarts=15; max_iter=200,4356755,124.999611
2026-04-12 02:47:58,d_tough_choices,random_restart_hill_climbing,restarts,4,1,restarts=20; max_iter=200,4358250,167.264632
